priority,issue_type,suggested_action,tag_example,row,country,store,status,note,google_name,google_link,detail
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,198,澳大利亚,Hawthorn,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee Hawthorn,https://www.google.com/maps/search/Cotti+Coffee+Hawthorn+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,199,澳大利亚,Haymarket,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (Haymarket),https://www.google.com/maps/search/Cotti+Coffee+Haymarket+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,201,澳大利亚,Hurstville Westfield,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (Hurstville Westfield),https://www.google.com/maps/search/Cotti+Coffee+Hurstville+Westfield+Sydney,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,205,澳大利亚,Manly Beach,已查询,搜索结果第一条命中，建议抽查；补漏query命中: Cotti Coffee Manly Beach Australia,Cotti Coffee(Manly Beach),https://www.google.com/maps/search/Cotti+Coffee+Manly+Beach+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,206,澳大利亚,Mascot,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE (Mascot),https://www.google.com/maps/search/Cotti+Coffee+Mascot+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,207,澳大利亚,Melbourne University,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee(Melbourne University),https://www.google.com/maps/search/Cotti+Coffee+Melbourne+University+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,208,澳大利亚,North Lakes Westfield,已查询,搜索结果第一条命中，建议抽查；补漏query命中: Cotti Coffee North Lakes Westfield Australia,Cotti Coffee (North Lakes),https://www.google.com/maps/search/Cotti+Coffee+North+Lakes+Westfield+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,209,澳大利亚,North Sydney,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (North Sydney),https://www.google.com/maps/search/Cotti+Coffee+North+Sydney+Sydney,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,211,澳大利亚,Pinelands plaza,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee(Pinelands plaza),https://www.google.com/maps/search/Cotti+Coffee+Pinelands+plaza+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,212,澳大利亚,Redfern,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE (Redfern),https://www.google.com/maps/search/Cotti+Coffee+Redfern+Australia,建议人工确认真实 place 链接
高,需人工核对,打开 Google Maps，确认真实门店；真实则补 /maps/place/ 链接，不真实则备注 【reject:原因】,真实则补 place 链接；错误则写 【reject:原因】,213,澳大利亚,Rhodes,需人工核对,【reject】评论数低于原累计评论数（原 124 → 本次 123），疑似抓取错误,Cotti Coffee(Rhodes）,"https://www.google.com/maps/place/Cotti+Coffee(Rhodes%EF%BC%89/@-33.8305032,151.0863233,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a5dd4bb77a51:0x99ece493a53e06ec!8m2!3d-33.8305032!4d151.0863233!16s%2Fg%2F11wtvwr20f?entry=ttu",当前状态需要人工确认
高,reject备注,确认这是错误候选；保留 【reject:原因】，周更会同步进负样本库,【reject:误命中】,213,澳大利亚,Rhodes,需人工核对,【reject】评论数低于原累计评论数（原 124 → 本次 123），疑似抓取错误,Cotti Coffee(Rhodes）,"https://www.google.com/maps/place/Cotti+Coffee(Rhodes%EF%BC%89/@-33.8305032,151.0863233,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a5dd4bb77a51:0x99ece493a53e06ec!8m2!3d-33.8305032!4d151.0863233!16s%2Fg%2F11wtvwr20f?entry=ttu",请确认是否已进入负样本库
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,214,澳大利亚,Rosebery Plaza,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee(Rosebery Plaza),https://www.google.com/maps/search/Cotti+Coffee+Rosebery+Plaza+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,215,澳大利亚,South Yarra,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee(South Yarra),https://www.google.com/maps/search/Cotti+Coffee+South+Yarra+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,216,澳大利亚,Southern Cross Station,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (Southern Cross Station),https://www.google.com/maps/search/Cotti+Coffee+Southern+Cross+Station+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,217,澳大利亚,Southport,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (Southport),https://www.google.com/maps/search/Cotti+Coffee+Southport+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,218,澳大利亚,Springvale,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee(Springvale),https://www.google.com/maps/search/Cotti+Coffee+Springvale+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,219,澳大利亚,St Georges Tce,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (St Georges Tce),https://www.google.com/maps/search/Cotti+Coffee+St+Georges+Tce+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,220,澳大利亚,Tea Tree Plaza,已查询,搜索结果第一条命中，建议抽查；补漏query命中: Cotti Coffee Tea Tree Plaza Australia,Cotti Coffee (Tea Tree Plaza),https://www.google.com/maps/search/Cotti+Coffee+Tea+Tree+Plaza+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,221,澳大利亚,Uptown,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee (North Sydney) 4.9(84) · A$1–20 Coffee shop · Shop 6/99 Mount St Open · Closes 6 PM Dine-in · Takeout · No-conta,https://www.google.com/maps/search/Cotti+Coffee+Uptown+Sydney,建议人工确认真实 place 链接
高,需人工核对,打开 Google Maps，确认真实门店；真实则补 /maps/place/ 链接，不真实则备注 【reject:原因】,真实则补 place 链接；错误则写 【reject:原因】,222,澳大利亚,Waterloo,需人工核对,【reject】评论数低于原累计评论数（原 77 → 本次 71），疑似抓取错误,Cotti Coffee 4.0(7) · A$1–20 Coffee shop · shop 2/52 O'Dea Ave Open · Closes 9 PM Dine-in · Curbside pickup · No-contact deli,https://www.google.com/maps/search/Cotti+Coffee+Waterloo+Sydney,当前状态需要人工确认
高,reject备注,确认这是错误候选；保留 【reject:原因】，周更会同步进负样本库,【reject:误命中】,222,澳大利亚,Waterloo,需人工核对,【reject】评论数低于原累计评论数（原 77 → 本次 71），疑似抓取错误,Cotti Coffee 4.0(7) · A$1–20 Coffee shop · shop 2/52 O'Dea Ave Open · Closes 9 PM Dine-in · Curbside pickup · No-contact deli,https://www.google.com/maps/search/Cotti+Coffee+Waterloo+Sydney,请确认是否已进入负样本库
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,222,澳大利亚,Waterloo,需人工核对,【reject】评论数低于原累计评论数（原 77 → 本次 71），疑似抓取错误,Cotti Coffee 4.0(7) · A$1–20 Coffee shop · shop 2/52 O'Dea Ave Open · Closes 9 PM Dine-in · Curbside pickup · No-contact deli,https://www.google.com/maps/search/Cotti+Coffee+Waterloo+Sydney,建议人工确认真实 place 链接
高,需人工核对,打开 Google Maps，确认真实门店；真实则补 /maps/place/ 链接，不真实则备注 【reject:原因】,真实则补 place 链接；错误则写 【reject:原因】,223,澳大利亚,Westfield Doncaster,需人工核对,【reject】评论数低于原累计评论数（原 11 → 本次 8），疑似抓取错误,Cotti Coffee (Westfield Doncaster),https://www.google.com/maps/search/Cotti+Coffee+Westfield+Doncaster+Australia,当前状态需要人工确认
高,reject备注,确认这是错误候选；保留 【reject:原因】，周更会同步进负样本库,【reject:误命中】,223,澳大利亚,Westfield Doncaster,需人工核对,【reject】评论数低于原累计评论数（原 11 → 本次 8），疑似抓取错误,Cotti Coffee (Westfield Doncaster),https://www.google.com/maps/search/Cotti+Coffee+Westfield+Doncaster+Australia,请确认是否已进入负样本库
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,223,澳大利亚,Westfield Doncaster,需人工核对,【reject】评论数低于原累计评论数（原 11 → 本次 8），疑似抓取错误,Cotti Coffee (Westfield Doncaster),https://www.google.com/maps/search/Cotti+Coffee+Westfield+Doncaster+Australia,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,224,菲律宾,Ayala Malls Manila Bay,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee Ayala Malls Manila Bay,https://www.google.com/maps/search/Cotti+Coffee+Ayala+Malls+Manila+Bay+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,226,菲律宾,FEU Morayta,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - FEU Morayta,https://www.google.com/maps/search/Cotti+Coffee+FEU+Morayta+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,227,菲律宾,Gaisano mall of Davao,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE - Gaisano mall of Davao,https://www.google.com/maps/search/Cotti+Coffee+Gaisano+mall+of+Davao+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,228,菲律宾,HRC Center,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - HRC Center,https://www.google.com/maps/search/Cotti+Coffee+HRC+Center+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,229,菲律宾,Lucky Chinatown Mall,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Lucky Chinatown Mall,https://www.google.com/maps/search/Cotti+Coffee+Lucky+Chinatown+Mall+Philippines,建议人工确认真实 place 链接
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,230,菲律宾,Mj Plaza,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Mj Plaza,https://www.google.com/maps/search/Cotti+Coffee+Mj+Plaza+Philippines,名称只有品牌词，无法辅助判断是否同店
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,230,菲律宾,Mj Plaza,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Mj Plaza,https://www.google.com/maps/search/Cotti+Coffee+Mj+Plaza+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,231,菲律宾,Nova Plaza Mall,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Nova Plaza Mall,https://www.google.com/maps/search/Cotti+Coffee+Nova+Plaza+Mall+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,233,菲律宾,Paseo Center Makati,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Paseo Center Makati,https://www.google.com/maps/search/Cotti+Coffee+Paseo+Center+Makati+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,237,菲律宾,SM Center Lemery,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - SM Center Lemery,https://www.google.com/maps/search/Cotti+Coffee+SM+Center+Lemery+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,239,菲律宾,SMDC Jazz Mall,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE - SMDC Jazz Mall,https://www.google.com/maps/search/Cotti+Coffee+SMDC+Jazz+Mall+Philippines,建议人工确认真实 place 链接
高,需人工核对,打开 Google Maps，确认真实门店；真实则补 /maps/place/ 链接，不真实则备注 【reject:原因】,真实则补 place 链接；错误则写 【reject:原因】,240,菲律宾,UST Dapitan Navarro,需人工核对,"【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout → 本次: Cotti Coffee - UST Dapitan Navarra）","Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout",https://www.google.com/maps/search/Cotti+Coffee+%22UST+Dapitan+Navarro%22+Philippines,当前状态需要人工确认
高,reject备注,确认这是错误候选；保留 【reject:原因】，周更会同步进负样本库,【reject:误命中】,240,菲律宾,UST Dapitan Navarro,需人工核对,"【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout → 本次: Cotti Coffee - UST Dapitan Navarra）","Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout",https://www.google.com/maps/search/Cotti+Coffee+%22UST+Dapitan+Navarro%22+Philippines,请确认是否已进入负样本库
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,240,菲律宾,UST Dapitan Navarro,需人工核对,"【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout → 本次: Cotti Coffee - UST Dapitan Navarra）","Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout",https://www.google.com/maps/search/Cotti+Coffee+%22UST+Dapitan+Navarro%22+Philippines,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,243,菲律宾,WM Trece Cavite,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - WM Trece Cavite,https://www.google.com/maps/search/Cotti+Coffee+WM+Trece+Cavite+Philippines,建议人工确认真实 place 链接
低,Google暂未找到,补更具体门店名/城市/商场；若仍找不到，备注保留 【pending:not_found】,【pending:not_found】Google Maps 暂未找到,245,越南,HD Mon,Google暂未找到,【pending:not_found】Google Maps 暂未找到或页面无法解析,Cotti Coffee - HD Mon,https://www.google.com/maps/search/HD+Mon+Vietnam,已人工标记为 Google暂未找到；后续周更会继续尝试但不作为高优先级失败
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,245,越南,HD Mon,Google暂未找到,【pending:not_found】Google Maps 暂未找到或页面无法解析,Cotti Coffee - HD Mon,https://www.google.com/maps/search/HD+Mon+Vietnam,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,251,越南,SC VivoCity,已查询,搜索结果第一条命中，建议抽查；补漏query命中: Cotti Coffee SC VivoCity Vietnam,Cotti Coffee - SC VivoCity,https://www.google.com/maps/search/Cotti+Coffee+SC+VivoCity+Vietnam,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,252,越南,Vincom Mega Mall,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE - Vincom MegaMall,https://www.google.com/maps/search/Cotti+Coffee+Vincom+Mega+Mall+Vietnam,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,256,阿联酋,Al Twar Centre,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee-Sahara Centre,https://www.google.com/maps/search/Cotti+Coffee+Al+Twar+Centre+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,257,阿联酋,Burjuman,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - BurJuman,https://www.google.com/maps/search/Cotti+Coffee+Burjuman+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,259,阿联酋,City Centre Sharjah,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - City Centre Sharjah,https://www.google.com/maps/search/Cotti+Coffee+City+Centre+Sharjah+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,260,阿联酋,City Centre Shindagha,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee- City Centre Shindagha,https://www.google.com/maps/search/Cotti+Coffee+City+Centre+Shindagha+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,261,阿联酋,CityLife Al Tallah,已查询,搜索结果第一条命中，建议抽查；补漏query命中: Cotti Coffee CityLife Al Tallah United Arab Emirates,Cotti Coffee- City Life Al Tallah,https://www.google.com/maps/search/Cotti+Coffee+CityLife+Al+Tallah+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,264,阿联酋,DIP Carrefour Market,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee-DIP1,https://www.google.com/maps/search/Cotti+Coffee+DIP+Carrefour+Market+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,265,阿联酋,Dubai Knowledge Park,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Dubai knowledge park,https://www.google.com/maps/search/Cotti+Coffee+Dubai+Knowledge+Park+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,266,阿联酋,HCT Academic City,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Academic City,https://www.google.com/maps/search/Cotti+Coffee+HCT+Academic+City+United+Arab+Emirates,建议人工确认真实 place 链接
低,暂无评分评论,无需补评分；保留真实 place 链接，并在备注保留 【confirmed:no_reviews】,【confirmed:no_reviews】真实门店，暂无评分评论,267,阿联酋,HCT Nahda,暂无评分评论,【confirmed:no_reviews】真实门店，暂无评分评论,Cotti Coffee-HCT Nahda,https://www.google.com/maps/search/Cotti+Coffee+HCT+Nahda+United+Arab+Emirates,已人工标记为 暂无评分评论；后续周更会继续尝试但不作为高优先级失败
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,267,阿联酋,HCT Nahda,暂无评分评论,【confirmed:no_reviews】真实门店，暂无评分评论,Cotti Coffee-HCT Nahda,https://www.google.com/maps/search/Cotti+Coffee+HCT+Nahda+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,268,阿联酋,I-Rise Tower,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - I-Rise Tower,https://www.google.com/maps/search/Cotti+Coffee+I-Rise+Tower+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,269,阿联酋,JBC3,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee -JBC3,https://www.google.com/maps/search/Cotti+Coffee+JBC3+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,270,阿联酋,JBC4,已查询,搜索结果第一条命中，建议抽查；补漏query命中: Cotti Coffee JBC4 United Arab Emirates,Cotti Coffee JBC4 United Arab Emirates Available filters for this search Learn more about legal disclosure regarding public r,https://www.google.com/maps/search/Cotti+Coffee+JBC4+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,271,阿联酋,Jafza One,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Jafza View 18&19,https://www.google.com/maps/search/Cotti+Coffee+Jafza+One+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,272,阿联酋,Jafza Views18&19,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee - Jafza View 18&19,https://www.google.com/maps/search/Cotti+Coffee+Jafza+Views18%2619+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,273,阿联酋,Lulu Souk Warsan,已查询,搜索结果第一条命中，建议抽查,Cotti Coffee- LuLu Souk Warsan,https://www.google.com/maps/search/Cotti+Coffee+Lulu+Souk+Warsan+United+Arab+Emirates,建议人工确认真实 place 链接
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,274,阿联酋,Mega Mall,已查询,搜索结果第一条命中，建议抽查,Cotti coffee-Megamall,https://www.google.com/maps/search/Cotti+Coffee+Mega+Mall+United+Arab+Emirates,建议人工确认真实 place 链接
