row,country,store,issue_types,current_status,current_note,current_google_name,current_link,scraped_status,scraped_google_name,scraped_rating,scraped_reviews,scraped_link,suggested_status,suggested_note,confidence,reason,current_reviews
143,印度尼西亚,Ruko Meruya Selatan,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 100 → 本次 99），疑似抓取错误,Cotti Coffee - Ruko Meruya Selatan,https://www.google.com/maps/search/Cotti+Coffee+Ruko+Meruya+Selatan+Indonesia,已查询,Cotti Coffee - Ruko Meruya Selatan,4.4,99,https://www.google.com/maps/search/Cotti+Coffee+Ruko+Meruya+Selatan+Indonesia,需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 100 → 本次 99）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,100
164,日本,大阪宗右衛門店,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 177 → 本次 93），疑似抓取错误,Cotti Coffee 大阪宗右衛門店 コッティコーヒー,https://www.google.com/maps/search/Cotti+Coffee+%E5%A4%A7%E9%98%AA%E5%AE%97%E5%8F%B3%E8%A1%9B%E9%96%80%E5%BA%97+Japan,已查询,Cotti Coffee 大阪宗右衛門店 コッティコーヒー,4.6,93,https://www.google.com/maps/search/Cotti+Coffee+%E5%A4%A7%E9%98%AA%E5%AE%97%E5%8F%B3%E8%A1%9B%E9%96%80%E5%BA%97+Japan,需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 177 → 本次 93）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,177
165,日本,大阪心斎橋店,需人工核对,需人工核对,搜索结果第一条不确定（名称/地域与目标门店匹配度低）,Cotti Coffee,https://www.google.com/maps/search/Cotti+Coffee+%E5%A4%A7%E9%98%AA%E5%BF%83%E6%96%8E%E6%A9%8B%E5%BA%97+Japan,需人工核对,Cotti Coffee,,,https://www.google.com/maps/search/Cotti+Coffee+%E5%A4%A7%E9%98%AA%E5%BF%83%E6%96%8E%E6%A9%8B%E5%BA%97+Japan,需人工核对,【pending:ambiguous】搜索结果只有品牌名，无法确认具体门店,中,页面有 Cotti/库迪品牌名，但缺少门店核心词,
171,日本,西池袋店,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 247 → 本次 206），疑似抓取错误,Cotti Coffee 西池袋店,"https://www.google.com/maps/place/Cotti+Coffee+%E8%A5%BF%E6%B1%A0%E8%A2%8B%E5%BA%97/@35.7315242,139.7093109,17z/data=!3m1!4b1!4m6!3m5!1s0x60188dc976978581:0x8660fda67a3c7f3!8m2!3d35.7315242!4d139.7093109!16s%2Fg%2F11vbpntjsq?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,Cotti Coffee 西池袋店,3.3,206,"https://www.google.com/maps/place/Cotti+Coffee+%E8%A5%BF%E6%B1%A0%E8%A2%8B%E5%BA%97/@35.7315242,139.7093109,17z/data=!3m1!4b1!4m6!3m5!1s0x60188dc976978581:0x8660fda67a3c7f3!8m2!3d35.7315242!4d139.7093109!16s%2Fg%2F11vbpntjsq?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 247 → 本次 206）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,247
183,澳大利亚,Bankstown,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 65 → 本次 64），疑似抓取错误,COTTI COFFEE (Bankstown),https://www.google.com/maps/search/Cotti+Coffee+Bankstown+Australia,已查询,COTTI COFFEE (Bankstown),4.4,64,https://www.google.com/maps/search/Cotti+Coffee+Bankstown+Australia,需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 65 → 本次 64）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,65
188,澳大利亚,Cabramatta,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 144 → 本次 143），疑似抓取错误,Cotti Coffee (Cabramatta),"https://www.google.com/maps/place/Cotti+Coffee+(Cabramatta)/@-33.8948839,150.9362252,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12971974c4c275:0x85bfdd3e8716a229!8m2!3d-33.8948839!4d150.9362252!16s%2Fg%2F11vrzg3rdh?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,Cotti Coffee (Cabramatta),4.3,143,"https://www.google.com/maps/place/Cotti+Coffee+(Cabramatta)/@-33.8948839,150.9362252,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12971974c4c275:0x85bfdd3e8716a229!8m2!3d-33.8948839!4d150.9362252!16s%2Fg%2F11vrzg3rdh?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 144 → 本次 143）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,144
193,澳大利亚,Elizabeth,"reject备注, 需人工核对",需人工核对,"【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - Tustin 4.8(26) · $1–10 Coffee store ·  · 14089 Newport Ave Closed · Opens 9 AM ""This Cotti Coffee location is → 本次: Cotti Coffee(Flinders Street Station)）","Cotti Coffee - Tustin 4.8(26) · $1–10 Coffee store ·  · 14089 Newport Ave Closed · Opens 9 AM ""This Cotti Coffee location is",https://www.google.com/maps/search/Cotti+Coffee+Elizabeth+Sydney,已查询,Cotti Coffee(Flinders Street Station),4.9,74,https://www.google.com/maps/search/Cotti+Coffee+Elizabeth+Sydney,需人工核对,【reject:store_mismatch】Google门店名称与底表门店名差异较大（底表: Elizabeth → 本次: Cotti Coffee(Flinders Street Station)）,中,抓取名称没有匹配到底表门店核心词，疑似同品牌其它门店,60
213,澳大利亚,Rhodes,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 124 → 本次 123），疑似抓取错误,Cotti Coffee(Rhodes）,"https://www.google.com/maps/place/Cotti+Coffee(Rhodes%EF%BC%89/@-33.8305032,151.0863233,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a5dd4bb77a51:0x99ece493a53e06ec!8m2!3d-33.8305032!4d151.0863233!16s%2Fg%2F11wtvwr20f?entry=ttu",已查询,Cotti Coffee(Rhodes）,4.2,123,"https://www.google.com/maps/place/Cotti+Coffee(Rhodes%EF%BC%89/@-33.8305032,151.0863233,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a5dd4bb77a51:0x99ece493a53e06ec!8m2!3d-33.8305032!4d151.0863233!16s%2Fg%2F11wtvwr20f?entry=ttu",需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 124 → 本次 123）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,124
222,澳大利亚,Waterloo,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 77 → 本次 71），疑似抓取错误,Cotti Coffee 4.0(7) · A$1–20 Coffee shop · shop 2/52 O'Dea Ave Open · Closes 9 PM Dine-in · Curbside pickup · No-contact deli,https://www.google.com/maps/search/Cotti+Coffee+Waterloo+Sydney,已查询,Cotti Coffee 3.8(9) · A$1–20 Coffee shop · shop 2/52 O'Dea Ave Open · Closes 9 PM Dine-in · Curbside pickup · No-contact deli,4.3,40,https://www.google.com/maps/search/Cotti+Coffee+Waterloo+Sydney,需人工核对,【reject:store_mismatch】Google门店名称与底表门店名差异较大（底表: Waterloo → 本次: Cotti Coffee 3.8(9) · A$1–20 Coffee shop · shop 2/52 O'Dea Ave Open · Closes 9 PM Dine-in · Curbside pickup · No-contact deli）,中,抓取名称没有匹配到底表门店核心词，疑似同品牌其它门店,77
223,澳大利亚,Westfield Doncaster,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 11 → 本次 8），疑似抓取错误,Cotti Coffee (Westfield Doncaster),https://www.google.com/maps/search/Cotti+Coffee+Westfield+Doncaster+Australia,已查询,Cotti Coffee (Westfield Doncaster),4.5,8,https://www.google.com/maps/search/Cotti+Coffee+Westfield+Doncaster+Australia,需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 11 → 本次 8）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,11
240,菲律宾,UST Dapitan Navarro,"reject备注, 需人工核对",需人工核对,"【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout → 本次: Cotti Coffee - UST Dapitan Navarra）","Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout",https://www.google.com/maps/search/Cotti+Coffee+%22UST+Dapitan+Navarro%22+Philippines,已查询,Cotti Coffee - UST Dapitan Navarra,4.6,24,https://www.google.com/maps/search/Cotti+Coffee+%22UST+Dapitan+Navarro%22+Philippines,需人工核对,"【reject:name_mismatch】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - NOVO TAYUMAN No reviewsCoffee shop · 1160, novo department store, 1164 Tayuman StOpen 24 hours Dine-in·Takeout → 本次: Cotti Coffee - UST Dapitan Navarra）",中,品牌一致但核心门店词差异较大,21
245,越南,HD Mon,需人工核对,需人工核对,未能从页面可见文本解析到评分与评论数；HTTP兜底无可用结构化数据,Cotti Coffee - HD Mon,"https://www.google.com/maps/place//@21.035281,105.768161,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",需人工核对,,,,"https://www.google.com/maps/place//@21.035281,105.768161,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",Google暂未找到,【pending:not_found】Google Maps 暂未找到或页面无法解析,低,未能从页面可见文本解析到评分与评论数；HTTP兜底无可用结构化数据,
267,阿联酋,HCT Nahda,需人工核对,需人工核对,未能从页面可见文本解析到评分与评论数；HTTP兜底无可用结构化数据,Cotti Coffee-HCT Nahda,https://www.google.com/maps/search/Cotti+Coffee+HCT+Nahda+United+Arab+Emirates,需人工核对,Cotti Coffee-HCT Nahda,,,https://www.google.com/maps/search/Cotti+Coffee+HCT+Nahda+United+Arab+Emirates,暂无评分评论,【confirmed:no_reviews】真实门店，暂无评分评论,中,页面有匹配的 Cotti/库迪门店名称，但未解析到评分评论,
275,阿联酋,Muraqqabat,"reject备注, 需人工核对",需人工核对,【reject】Google门店名称与人工维护名称差异较大（人工: Cotti Coffee - Muraqqabat Express → 本次: Cotti Coffee - Al Ghurair Center 4.4(76) · AED 1–50 Coffee store · Al Rigga Rd Open · Closes 10 PM Onsite services Cotti Coff）,Cotti Coffee - Muraqqabat Express,https://www.google.com/maps/search/Cotti+Coffee+Muraqqabat+United+Arab+Emirates,已查询,Cotti Coffee Muraqqabat United Arab Emirates Available filters for this search Learn more about legal disclosure regarding pu,4.4,76,https://www.google.com/maps/search/Cotti+Coffee+Muraqqabat+United+Arab+Emirates,需人工核对,【pending:ambiguous】Google 门店名称疑似搜索结果面板文本：Cotti Coffee Muraqqabat United Arab Emirates Available filters for this search Learn more about legal disclosure regardi,中,名称像搜索页面聚合文本，不像单个门店名称,6
276,阿联酋,Publishing Pavilion,需人工核对,需人工核对,未能从页面可见文本解析到评分与评论数；HTTP兜底无可用结构化数据,Cotti Coffee- Publishing Pavilion,"https://www.google.com/maps/place/Cotti+Coffee-+Publishing+Pavilion/@25.0364884,55.1903917,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6dbb082e6f63:0xfe5fba05b497e4d7!8m2!3d25.0364884!4d55.1903917!16s%2Fg%2F11z6qsljyb?entry=ttu",需人工核对,Cotti Coffee- Publishing Pavilion,,,"https://www.google.com/maps/place/Cotti+Coffee-+Publishing+Pavilion/@25.0364884,55.1903917,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6dbb082e6f63:0xfe5fba05b497e4d7!8m2!3d25.0364884!4d55.1903917!16s%2Fg%2F11z6qsljyb?entry=ttu",暂无评分评论,【confirmed:no_reviews】真实门店，暂无评分评论,中,页面有匹配的 Cotti/库迪门店名称，但未解析到评分评论,
281,阿联酋,Singlong,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 9 → 本次 8），疑似抓取错误,Cotti Coffee-Singlong,"https://www.google.com/maps/place/Cotti+Coffee-Singlong/@25.1031413,55.1658798,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6bbe3dad006d:0x7e0fc9b6a6d5b08!8m2!3d25.1031413!4d55.1658798!16s%2Fg%2F11wvc8tfc8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,Cotti Coffee-Singlong,5.0,8,"https://www.google.com/maps/place/Cotti+Coffee-Singlong/@25.1031413,55.1658798,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6bbe3dad006d:0x7e0fc9b6a6d5b08!8m2!3d25.1031413!4d55.1658798!16s%2Fg%2F11wvc8tfc8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 9 → 本次 8）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,9
296,马来西亚,Plaza KLTS,"reject备注, 需人工核对",需人工核对,【reject】评论数低于原累计评论数（原 48 → 本次 47），疑似抓取错误,Cotti Coffee 库迪咖啡 - Plaza KLTS,https://www.google.com/maps/search/Cotti+Coffee+Plaza+KLTS+Malaysia,已查询,Cotti Coffee 库迪咖啡 - Plaza KLTS,4.3,47,https://www.google.com/maps/search/Cotti+Coffee+Plaza+KLTS+Malaysia,需人工核对,【reject:reviews_decreased】评论数低于原累计评论数（原 48 → 本次 47）,中,累计评论数下降，需要确认是否 Google 展示波动或误命中,48
299,马来西亚,Sunway Carnival Mall,"reject备注, 需人工核对",需人工核对,【reject】评论数异常暴增（原 29 → 本次 106），疑似误命中商场/其它POI,COTTI COFFEE 库迪咖啡- Sunway Carnival Mall,https://www.google.com/maps/search/Cotti+Coffee+Sunway+Carnival+Mall+Malaysia,已查询,,4.3,106,https://www.google.com/maps/search/Cotti+Coffee+Sunway+Carnival+Mall+Malaysia,需人工核对,【pending:ambiguous】抓到评分评论但未抓到 Google 门店名称，需要人工确认真实链接,中,缺少 Google 门店名称，不能自动确认同店,29
306,马来西亚,Wisma New Asia,需人工核对,需人工核对,搜索结果第一条不确定（名称/地域与目标门店匹配度低）,Cotti Coffee 库迪咖啡 - Wisma New Asia,https://www.google.com/maps/search/Cotti+Coffee+Wisma+New+Asia+Malaysia,需人工核对,,,,https://www.google.com/maps/search/Cotti+Coffee+Wisma+New+Asia+Malaysia,需人工核对,【pending:ambiguous】搜索结果不确定，需要人工确认真实链接,中,搜索结果第一条不确定（名称/地域与目标门店匹配度低）,
342,越南,Golden Plaza,"reject备注, 需人工核对",需人工核对,「reject」门店名称疑似非 Cotti，可能误命中其它POI（解析到: - Golden Plaza）；建议加 --headful 补跑本行。,暂停营业,"https://www.google.com/maps/place/-+Golden+Plaza/@10.7534574,106.5723192,12z/data=!4m10!1m2!2m1!1sGolden+Plaza+cotti!3m6!1s0x31752f001f384c81:0x32c35db199c380dd!8m2!3d10.7530064!4d106.655033!15sChJHb2xkZW4gUGxhemEgY290dGlaFCISZ29sZGVuIHBsYXphIGNvdHRpkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpPVWxoVWpSQlJSQULgAQD6AQQIABAs!16s%2Fg%2F11wh1sz6fg?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,,4.5,83,"https://www.google.com/maps/place/-+Golden+Plaza/@10.7534574,106.5723192,12z/data=!4m10!1m2!2m1!1sGolden+Plaza+cotti!3m6!1s0x31752f001f384c81:0x32c35db199c380dd!8m2!3d10.7530064!4d106.655033!15sChJHb2xkZW4gUGxhemEgY290dGlaFCISZ29sZGVuIHBsYXphIGNvdHRpkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpPVWxoVWpSQlJSQULgAQD6AQQIABAs!16s%2Fg%2F11wh1sz6fg?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【pending:ambiguous】抓到评分评论但未抓到 Google 门店名称，需要人工确认真实链接,中,缺少 Google 门店名称，不能自动确认同店,
347,日本,難波店,需人工核对,需人工核对,门店名称疑似非 Cotti，可能误命中其它POI（解析到: Results）；建议加 --headful 补跑本行。,,"google.com/maps/place/Cotti+Coffee+大阪難波店+コッティコーヒー/@35.1962641,137.6331062,8z/data=!4m10!1m2!2m1!1zQ290dGkgQ29mZmVlIOmbo-azouW6lyBKYXBhbg!3m6!1s0x6000e7a18b2152e9:0xbfacc9ba3fd1e8d8!8m2!3d34.6690893!4d135.4936538!15sChxDb3R0aSBDb2ZmZWUg6Zuj5rOi5bqXIEphcGFuWh8iHWNvdHRpIGNvZmZlZSDpm6Pms6Ig5bqXIGphcGFukgEEY2FmZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczFkV0ZVVG05UFNGWTFaVmRLUkZScmNGbGtNVm93V201V1ZWVkdSUkFC4AEA-gEECAAQFw!16s%2Fg%2F11mdv_n324?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",已查询,,4.5,83,"https://www.google.com/maps/place/-+Golden+Plaza/@10.7534574,106.5723192,12z/data=!4m10!1m2!2m1!1sGolden+Plaza+cotti!3m6!1s0x31752f001f384c81:0x32c35db199c380dd!8m2!3d10.7530064!4d106.655033!15sChJHb2xkZW4gUGxhemEgY290dGlaFCISZ29sZGVuIHBsYXphIGNvdHRpkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXpPVWxoVWpSQlJSQULgAQD6AQQIABAs!16s%2Fg%2F11wh1sz6fg?entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",需人工核对,【pending:ambiguous】抓到评分评论但未抓到 Google 门店名称，需要人工确认真实链接,中,缺少 Google 门店名称，不能自动确认同店,
349,澳大利亚,Eastgardens,需人工核对,需人工核对,门店名称疑似非 Cotti，可能误命中其它POI（解析到: Results）；建议加 --headful 补跑本行。,,https://www.google.com/maps/search/Cotti+Coffee+Eastgardens+Australia,已查询,COTTI COFFEE (Kingsford) 4.2(29) · A$1–20 Cafe ·  · 466 Anzac Parade Closes soon · 8 PM · Opens 8:30 AM Wed Dine-in · Takeou,4.6,69,https://www.google.com/maps/search/Cotti+Coffee+Eastgardens+Australia,需人工核对,【reject:store_mismatch】Google门店名称与底表门店名差异较大（底表: Eastgardens → 本次: COTTI COFFEE (Kingsford) 4.2(29) · A$1–20 Cafe ·  · 466 Anzac Parade Closes soon · 8 PM · Opens 8:30 AM Wed Dine-in · Takeou）,中,抓取名称没有匹配到底表门店核心词，疑似同品牌其它门店,
